Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO:0022625,-0.7776266060936229,-3.9605930809167207,0.0,0.0,0.0,42/48,13.56%,RPL21;RPL23;RPL10A;RPL27;RPL15;RPL13;RPL19;RPLP1;RPL12;RPL18;RPL5;RPL37A;RPL30;RPL32;RPL23A;RPL37;RPL7;RPL34;RPL17;RPL26;RPL29;RPL7A;RPL35A;RPL39;RPL36A;RPL27A;RPL11;RPL8;RPL24;RPL3;RPL18A;RPL38;RPL4;RPL13A;RPL36;RPL31;RPL10;RPL28;RPL35;RPLP0;RPL14;RPL41
prerank,GO:0022627,-0.7428878627202369,-3.2574614513849274,0.0,0.0,0.0,28/32,11.11%,RPS10;RPS9;RPS5;RPS26;RPS23;RPS11;RPS15A;RPS20;RPSA;RPS28;RPS27A;RPS8;RPS16;RPS12;RPS13;UBA52;RPS15;RPS21;RPS27;EIF2A;RPS3;RPS29;RPS14;RPS19;RPS25;RPS7;RPS4X;RPS4Y2
prerank,GO:0003735,-0.519512478375623,-3.1196871765623935,0.0,0.0,0.0,62/111,12.68%,RPL21;RPL23;MRPS25;RPS10;RPS9;RPS5;RPL27;RPS26;RPL22;RPL15;RPS23;RPS11;RPL13;RPL19;RPLP1;RPL12;RPS15A;RPL18;RPL5;RPSA;RPL30;RPS28;RPL23A;RPS27A;RPS8;RPL7;RPL34;RPL17;RPS16;RPS12;RPS13;UBA52;RPS15;RPS21;RPS27;RPL26;RPL29;MRPS16;MRPL57;RPS2;RPL35A;RPS3;RPS29;RPS14;RPL27A;RPL11;RPL8;RPS19;RPL24;RPL3;RPS25;RPL38;RPL4;RPL13A;RPL36;RPL31;RPS4X;RPL10;RPS4Y2;RPL35;RPLP0;RPL14
prerank,GO:0030488,-0.5696927255120556,-2.219110896889527,0.0,0.0053899780096383285,0.033,10/18,16.67%,TARBP1;GTPBP3;TRMT13;TRMT61A;WDR6;THUMPD2;METTL1;LCMT2;THUMPD3;TRMT44
prerank,GO:0002181,-0.5384429807783179,-2.10314868936201,0.0,0.010181069573761288,0.078,13/21,13.56%,RPL22;RPL15;RPLP1;RPSA;RPL17;RPL26;RPL29;RPL35A;RPL24;RPL36;RPL31;RPLP0;RPL41
prerank,GO:0006511,0.5023647564806549,2.103092774816414,0.0,0.009831191355963243,0.009,51/92,27.09%,RNF149;PSMD11;KCTD6;UBE2L3;RNF19B;RNF167;RNF19A;UBQLN4;FEM1C;RNF6;RNF8;RNF7;RBX1;RCHY1;ADRM1;NTAN1;COPS3;ELOC;HERC5;UBE2G1;FEM1A;HERPUD1;AMFR;UBE2L6;RNF166;HERC6;ARIH2;RNF213;RNF13;UBE2S;ASB2;FBXO10;RNF14;RNF11;NPLOC4;ANAPC11;RNF125;RC3H2;SYVN1;UBA6;CDC34;TRPC4AP;ARIH1;PSMD3;RC3H1;UBE3B;TOLLIP;UBA1;UBE2D1;RNF146;UBR4
prerank,GO:0007030,0.5289842287168414,2.10273613188541,0.0,0.004915595677981621,0.009,41/57,36.25%,GOLGA5;TMED5;HACE1;VMP1;SURF4;UBXN2B;COG7;GOLPH3;SEC16B;LMAN1;TMED9;TANGO2;TMED2;TMED10;LMAN2;HUWE1;PI4K2A;TMED1;LYSMD3;TMED4;GOLGA8O;LRRK2;GOLGA2;BLZF1;DYM;TMED7;DNAJC28;ATP8B3;GOLGA8N;GOLGA8M;LMAN2L;COG3;SEC16A;GOLGA8H;TJAP1;GOLGA8Q;GOLGA8S;GOLGA8R;UBXN2A;TMED3;TICAM2
prerank,GO:0010498,0.6751081125331143,2.0858253064234415,0.0,0.004369418380428108,0.012,14/18,22.19%,PSMA3;PSMA7;PSMB3;PSMB9;PSMB2;PSMB6;PSMA6;PSMA5;PSMB4;PSMB10;PSMB1;PSMB8;PSMA4;PSMB7
prerank,GO:0006886,0.48488161412984065,2.0685366066539546,0.0,0.0038232410828745946,0.014,62/108,28.89%,RAB18;VPS33A;RAB22A;RAB5A;STXBP3;TMED5;SAR1B;USO1;ARF1;ARF5;NAPG;STXBP2;VPS29;STX3;ARF6;NAPA;ARL4C;NAPB;STX11;RAB14;RAB1A;STX8;ARF3;COPB2;RAB6A;STX12;VPS26A;COPA;TMED9;TMED2;WLS;TMED10;RAB5C;ARF4;STX10;ARL5A;COPZ1;SEC31A;TMED1;RAB5B;RAB1B;SNX27;TMED4;SCFD1;RAB29;RAB38;VPS26B;STX6;STX7;COPZ2;ARL4D;SAR1A;STX2;VPS26C;ARL5B;TMED7;ASPSCR1;VPS33B;STX1A;FAM91A1;STX4;ARFIP1
prerank,GO:0006888,0.5002916599255475,2.0518527341717516,0.0,0.004369418380428108,0.02,43/69,30.31%,TMED5;SAR1B;ARCN1;USO1;CNIH4;TRAPPC2L;BCAP31;COPB1;KDELR2;COPE;LMAN1;COPB2;TRAPPC4;SEC22A;COPA;SEC22C;TMED9;TMED2;MIA2;TMED10;LMAN2;IER3IP1;WHAMM;TMED1;TEX261;TRAPPC1;COPG1;NRBP1;TFG;TMED4;MIA3;SCFD1;YIF1A;SAR1A;TMED7;ZW10;TRAPPC2;TRAPPC3;KDELR1;YKT6;TBC1D20;LMAN2L;YIPF5
prerank,GO:0043161,0.4904041282214891,2.049493179101727,0.0,0.0036411819836900906,0.02,59/88,35.31%,SPSB3;PSMC2;HECTD3;HACE1;KCTD2;RNF34;SHARPIN;PSMC3;SIAH2;TRIM3;SPSB1;FBXW7;STUB1;UBE2A;UBXN2B;PSMD4;PLAA;UBE2G1;DDB1;AREL1;UBE2B;PSMD2;PSMC4;ZFAND2A;PSMD7;PSMD8;KCTD17;RMND5A;FBXO45;WWP2;HUWE1;PSMD14;PSMD1;KCTD5;ZNRF2;PSMD6;HECTD1;UBE2W;WDR26;DTL;UBXN7;MAEA;PSMC1;SPOPL;TRIP12;RBCK1;ITCH;SMURF2;KCTD10;KLHL20;TNFAIP1;RAD23A;PSMC6;RAD23B;BFAR;DCAF11;GID4;ZNRF1;UBXN2A
prerank,GO:0001228,-0.35852458476033144,-2.0275235019794766,0.0,0.015271604360641932,0.13,34/79,20.43%,ZNF780B;ZNF606;ZNF814;ZNF229;ZFP62;ZNF43;ZNF658;ZNF629;ZNF717;ZNF836;ZNF493;ZNF594;ZNF48;ZNF721;STOX1;ZNF345;SOX12;SOX4;ZNF580;ZNF268;ZNF107;ZNF112;ZNF782;ZNF445;ZNF33B;RREB1;ZNF544;ZNF226;ZNF485;PRDM16;ZNF91;ZNF770;ZNF786;PRDM15
prerank,GO:0005525,0.47120438021498107,2.0118733612115536,0.0,0.006710178227086023,0.042,80/115,39.56%,RHEB;RAP1A;ATL3;TUBB4B;RAP2B;TUBA1C;RHEBL1;RAP2A;ARF1;RHOG;ARF5;RAB2A;ARL3;TUBA8;TUBA1B;CDC42;RAB26;ARF6;RALB;HRAS;ARL4C;RAB27B;RAC1;RHOU;ANXA6;ARF3;RAB11A;GBP3;GCH1;RAB27A;GBP5;RHOF;ARF4;RHOC;RHOA;GBP2;ARL5A;RAB37;RAB2B;TUBB;TUBA1A;RABL6;GBP7;TUBA4A;GBP6;RIT1;MRAS;KRAS;ATL1;GBP4;ARL4D;ARL5B;RAP1B;RAC2;ERAS;TUBG1;RNF112;RASEF;DRG2;TUBB2A;RHOB;RHOBTB1;RHOT1;RRAS2;GBP1;TUBB4A;ARL1;ARL6;RAB11B;RAB4B;RHOBTB3;RAB42;RHOQ;DRG1;TUBB6;NRAS;TUBB1;RAB4A;RAP2C;TUBG2
prerank,GO:0018105,0.48530578222655807,2.0035166711041748,0.0,0.006963760543807297,0.05,45/87,25.00%,MKNK1;AKT3;PRKCQ;MAPKAPK2;DYRK1B;PRKCD;PRKCE;MAPKAPK3;HIPK3;RPS6KA4;RPS6KB2;DMPK;CDC7;MKNK2;SBK1;PRKX;MAP3K20;AKT1;CSNK1G2;RPS6KA1;TBK1;UHMK1;STK38;ULK3;MYO3B;LATS2;MAST3;CSNK1G1;MAST2;CSNK1A1;VRK2;HIPK1;HIPK4;ULK1;CSNK2A2;PDPK1;CAMK1;PRKCB;CSNK1D;PRKCH;CHUK;PKN1;TTK;PKN3;NEK7
prerank,GO:0030433,0.5185435853577931,1.9872799626345619,0.0,0.008010600364118199,0.064,29/53,21.28%,DNAJB12;UBXN4;ECPAS;DNAJB14;UBXN10;RHBDD2;SELENOS;JKAMP;DERL2;CANX;OS9;CALR;TMUB1;UBE4B;TRIM13;HSP90B1;HSPA5;AUP1;VCP;UFD1;MAN1B1;DERL1;TMUB2;UBE2J1;FBXO27;UBE2J2;FBXO6;RNF121;BAG6
prerank,GO:0005839,0.6415533486639319,1.980727250674175,0.0,0.007864953084770594,0.069,13/18,22.19%,PSMA3;PSMA7;PSMB3;PSMB9;PSMB2;PSMB6;PSMA5;PSMB4;PSMB10;PSMB1;PSMB8;PSMA4;PSMB7
prerank,GO:0006412,-0.45028984419882834,-1.9612691480986812,0.0,0.020019918321513792,0.196,14/31,11.66%,GSPT2;RPS5;RPS23;RPL12;MRRF;RPSA;RPS2;RPS14;RPL3;EEF1A1;RPS4X;HBS1L;RPS4Y2;MRPL52
prerank,GO:0032456,0.5936968603632069,1.9537230108886214,0.0,0.009731886392771696,0.094,15/23,25.63%,WASHC1;RAB8B;EHD1;SNX12;ARL4C;VPS35L;RAB35;EHD4;RAB8A;DENND1B;HGS;RAB11FIP4;SNX3;EHD3;DENND1A
prerank,GO:0000209,0.455834202039884,1.9409030060122228,0.0,0.010650457302293513,0.11,48/97,26.95%,UBE2L3;WSB2;TRIM6;HACE1;RNF19B;RNF19A;TRIM3;UBE2D3;STUB1;UBE2A;TRIM21;UBE2Q2;UBE2G1;UBE2V1;AREL1;UBE2B;UBE2Q1;TRIM38;UBE2E3;UBE2K;UBE2L6;UBE4B;RNF166;ARIH2;WWP2;HUWE1;UBE2S;RNF14;PPIL2;UBE2J1;RNF125;RC3H2;UBE2J2;HECTD1;UBE2W;CDC34;MARCH5;TRIM22;ARIH1;TRIP12;FBXO28;RC3H1;UBE3B;ITCH;UBR5;UBE2N;SMURF2;UBE2D1
prerank,GO:0007266,0.6035603578243331,1.9288658027587224,0.0,0.011007573227616965,0.124,8/22,12.58%,CDC42EP3;ROCK2;ARHGAP35;NGFR;ARHGDIA;ROCK1;EPS8L1;ARHGDIB
