,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Cytoplasmic Translation (GO:0002181),-0.8041142753898721,-4.18300534943822,0.0,0.0,0.0,76/91,10.59%,RPS17;RPS3A;RPS10;RPL21;RPLP1;RPS5;RPL22;RPS13;RPL9;RPL27;RPL17;RPS23;RPL13;RPL5;RPS26;RPL18;RPL32;RPS6;RPS9;RPL12;RPLP2;RPL30;RPS8;RPS11;RPL24;RPS28;RPL7;RPL15;RPL11;RPS27A;RPL37A;RPL29;RPS16;RPS14;RPL19;UBA52;RPS15A;RPL37;RPL10;RPL39;RPL34;RPL10A;RPL36;RPS25;RPS20;RPL35A;RPL28;FAU;RPS15;RPL18A;RPL26;RPL31;RPS19;RACK1;RPSA;RPL27A;RPL8;RPL38;RPL13A;RPS21;RPL41;RPS2;RPS29;RPS7;RPL7A;RPS27;RPS4X;RPL4;RPLP0;RPS18;RPL3;RPL23A;RPS24;RPL35;RPS3;RPL14
1,prerank,Peptide Biosynthetic Process (GO:0043043),-0.612409772096368,-3.363475477335692,0.0,0.0,0.0,85/143,9.97%,RPS17;GSPT2;RPS3A;RPS10;RPL21;RPLP1;RPS5;RPL22;RPS13;RPL9;RPL27;RPL17;PABPC4;RPS23;MRPS33;RPL13;RPL5;RPS26;RPL18;RPL32;RPS6;RPS9;RPL12;RPLP2;RPL30;RPS8;RPS11;RPL24;RPS28;RPL7;RPL15;RPL11;RPS27A;RPL37A;RPL29;RPS16;RPS14;RPL19;RPS15A;RPL37;RPL10;RPL39;RPL34;RPL10A;RPL36;RPS25;PCSK5;RPS20;RPL35A;MRRF;RPL28;FAU;RPS15;EEF1A1;RPL18A;RPL26;RPL31;RPS19;MRPS18B;RPSA;RPL27A;RPL8;RPL38;MRPS21;RPL13A;RPS21;RPL41;DHPS;RPS2;RPS29;RPS7;RPL7A;RPS27;FARSB;RPS4X;RPL4;RPLP0;RPS18;RPL3;RPL23A;GGT7;RPS24;RPL35;HBS1L;RPS3
2,prerank,Macromolecule Biosynthetic Process (GO:0009059),-0.5510845335412519,-3.1079048186541316,0.0,0.0,0.0,91/172,9.97%,RPS17;EEF1G;EEF1B2;GSPT2;RPS3A;RPS10;RPL21;RPLP1;RPS5;RPL22;RPS13;RPL9;RPL27;RPL17;PABPC4;RPS23;POLD2;MRPS33;RPL13;RPL5;RPS26;RPL18;RPL32;RPS6;RPS9;RPL12;RPLP2;RPL30;RPS8;RPS11;RPL24;RPS28;RPL7;RPL15;RPL11;RPS27A;RPL37A;RPL29;RPS16;RPS14;RPL19;RPS15A;RPL37;GAL3ST4;RPL10;RPL39;RPL34;RPL10A;RPL36;RPS25;RPS20;RPL35A;MRRF;RPL28;FAU;RPS15;EEF1A1;RPL18A;RPL26;RPL31;RPS19;MRPS18B;RPSA;RPL27A;RPL8;RPL38;MRPS21;RPL13A;RPS21;RPL41;DHPS;RPS2;RPS29;RPS7;RPL7A;RPS27;FARSB;RPS4X;RPL4;RPLP0;RPS18;RPL3;RPL23A;RPS24;TERT;EEF1D;RPL35;EIF5AL1;HBS1L;POLL;RPS3
3,prerank,Translation (GO:0006412),-0.48825625023962826,-2.8059119945830417,0.0,0.0,0.0,101/216,12.39%,RPS17;EEF1G;EEF1B2;GSPT2;RPS3A;RPS10;RPL21;RPLP1;RPS5;MRPS25;RPL22;RPS13;RPL9;RPL27;RPL17;PABPC4;RPS23;MRPS33;RPL13;RPL5;RPS26;RPL18;RPL32;RPS6;RPS9;RPL12;RPLP2;RPL30;RPS8;RPS11;RPL24;RPS28;RPL7;RPL15;RPL11;RPS27A;RPL37A;RPL29;RPS16;RPS14;RPL19;UBA52;RPS15A;RPL37;RPL10;RPL39;RPL34;RPL10A;RPL36;RPS25;RPS20;RPL35A;MRRF;RPL28;FAU;RPS15;EEF1A1;RPL18A;MRPS27;NDUFA7;RPL26;RPL31;RPS19;MRPS18B;RACK1;RPSA;RPL27A;RPL8;RPL38;MRPS21;RPL13A;RPS21;RPL41;DHPS;RPS2;RPS29;RPS7;RPL7A;RPS27;FARSB;RPS4X;RPL4;RPLP0;RPS18;RPL3;MRPL57;RPL23A;MRPL53;RPS24;MRPL45;EEF1D;RPL35;EIF5AL1;HBS1L;RPS3;RPL14;RPL6;RPS4Y1;MRPL50;MRPS31;ABCE1
4,prerank,Ribosomal Large Subunit Assembly (GO:0000027),-0.6573787064049389,-2.3687387305435057,0.0,0.0005545316806665621,0.008,12/20,13.46%,RPL5;RPL11;RPL10;NLE1;RPF2;RPLP0;DDX28;RPL23A;NOP53;RPL6;FASTKD2;MDN1
5,prerank,post-Golgi Vesicle-Mediated Transport (GO:0006892),0.6482610372853252,2.3367878181326667,0.0,0.0,0.0,29/53,20.86%,SCAMP2;MYO5A;EXOC5;EPS15;RAB14;VTI1B;SCAMP1;GBF1;COMMD1;ARL3;AP3D1;GOLGA7;KLHL20;RAB10;VPS13A;VPS13C;EXOC2;VTI1A;SCFD1;RABIF;VPS35L;AP4M1;EXOC4;MON2;SEC16A;LLGL1;EXOC8;CORO7;OSBPL5
6,prerank,Cellular Response To Lipopolysaccharide (GO:0071222),0.5697489091952104,2.255694593338615,0.0,0.0,0.0,61/108,26.82%,HMGB2;CDC73;PDCD1LG2;TNIP2;NUGGC;GFI1;TNFRSF1B;CTSG;CASP1;CCL5;HMGB1;TGFB1;CD274;GIT1;GBP3;LILRB1;NLRP7;MTDH;RHOA;RELA;SELENOS;CX3CR1;PTPN22;TRAF6;IL1B;TRIM41;TNIP1;CASP7;MYD88;CARD16;ZC3H12A;CXCL8;PLAA;PYCARD;GSTP1;TNFAIP3;VIM;CD14;CXCL11;UPF1;MAPK14;TNIP3;CCR5;CTR9;GBP2;PABPN1;CCL3;NFKBIB;TICAM1;SHPK;XBP1;PPBP;CXCL2;PF4;CHMP5;CXCL3;IL1A;TNF;PF4V1;NOD2;SBNO2
7,prerank,Cellular Response To Molecule Of Bacterial Origin (GO:0071219),0.5642502017837283,2.212144750475147,0.0,0.0,0.0,59/99,29.30%,HMGB2;CDC73;PDCD1LG2;TNIP2;NUGGC;GFI1;TNFRSF1B;CTSG;CASP1;HMGB1;CD274;GIT1;GBP3;LILRB1;NLRP7;RHOA;RELA;SELENOS;CX3CR1;TRAF6;IL1B;TRIM41;TNIP1;CASP7;MYD88;CARD16;ZC3H12A;CXCL8;TIRAP;PLAA;PYCARD;GSTP1;TNFAIP3;VIM;CD14;CXCL11;UPF1;MAPK14;TNIP3;CCR5;CTR9;GBP2;PABPN1;NFKBIB;TICAM1;SHPK;XBP1;PPBP;CXCL2;PF4;CHMP5;CXCL3;IL1A;PF4V1;NOD2;SBNO2;ZFP36;CXCL1;NLRP3
8,prerank,Cortical Cytoskeleton Organization (GO:0030865),0.6977261008359292,2.169958699047292,0.0,0.0002856270234574226,0.001,16/25,16.86%,NCKAP1;ROCK1;FHOD1;ROCK2;FMNL1;LCP1;RAC1;PLEK;STRIP1;PPP2R3C;NCKAP1L;RHOG;LLGL2;EZR;LLGL1;IKBKB
9,prerank,Ribosome Assembly (GO:0042255),-0.49265943440667814,-2.1659975332001187,0.0,0.00537202565645732,0.082,19/45,8.83%,RPS5;C1QBP;RPL5;RPS28;RPL11;EFNA1;RPS14;NPM1;RPL10;MTERF4;NLE1;RPS15;RPS19;RPSA;RPF2;RPS27;RPLP0;RPL23A;NOP53
