Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Cytosolic Large Ribosomal Subunit (GO:0022625),-0.8483464297699128,-3.478181290988739,0.0,0.0,0.0,44/48,11.57%,RPL21;RPLP1;RPL22;RPL9;RPL27;RPL17;RPL13;RPL5;RPL18;RPL32;RPL12;RPLP2;RPL30;RPL24;RPL7;RPL15;RPL11;RPL37A;RPL29;RPL19;UBA52;RPL37;RPL39;RPL34;RPL10A;RPL36;RPL35A;RPL28;RPL18A;RPL26;RPL31;RPL27A;RPL8;RPL38;RPL13A;RPL41;RPL7A;RPL4;RPLP0;RPL3;RPL23A;RPL35;RPL14;RPL6
prerank,Large Ribosomal Subunit (GO:0015934),-0.8483464297699128,-3.478181290988739,0.0,0.0,0.0,44/48,11.57%,RPL21;RPLP1;RPL22;RPL9;RPL27;RPL17;RPL13;RPL5;RPL18;RPL32;RPL12;RPLP2;RPL30;RPL24;RPL7;RPL15;RPL11;RPL37A;RPL29;RPL19;UBA52;RPL37;RPL39;RPL34;RPL10A;RPL36;RPL35A;RPL28;RPL18A;RPL26;RPL31;RPL27A;RPL8;RPL38;RPL13A;RPL41;RPL7A;RPL4;RPLP0;RPL3;RPL23A;RPL35;RPL14;RPL6
prerank,Cytosolic Small Ribosomal Subunit (GO:0022627),-0.7825811841288814,-3.478006729816115,0.0,0.0,0.0,33/38,9.96%,RPS17;RPS3A;RPS10;RPS5;RPS13;RPS23;RPS26;RPS6;RPS9;RPS8;RPS11;RPS28;RPS27A;RPS16;RPS14;UBA52;RPS15A;RPS25;RPS20;FAU;RPS15;RPS19;RACK1;RPSA;RPS21;RPS2;RPS29;RPS7;RPS27;RPS4X;RPS18;RPS24;RPS3
prerank,Small Ribosomal Subunit (GO:0015935),-0.7657490296127876,-3.3423234861205664,0.0,0.0,0.0,33/39,9.96%,RPS17;RPS3A;RPS10;RPS5;RPS13;RPS23;RPS26;RPS6;RPS9;RPS8;RPS11;RPS28;RPS27A;RPS16;RPS14;UBA52;RPS15A;RPS25;RPS20;FAU;RPS15;RPS19;RACK1;RPSA;RPS21;RPS2;RPS29;RPS7;RPS27;RPS4X;RPS18;RPS24;RPS3
prerank,Polysomal Ribosome (GO:0042788),-0.748489424764992,-2.8915421496249567,0.0,0.0,0.0,22/27,11.57%,RPS23;RPS26;RPL18;RPL32;RPL30;RPL24;RPS28;RPL11;RPL19;RPL39;RPL10A;RPL36;RPL18A;RPL31;RPL8;RPL38;RPS21;RPL41;RPS29;RPL7A;EIF3H;RPL6
prerank,Ribosome (GO:0005840),-0.6596138795164249,-2.85377759166186,0.0,0.0,0.0,41/58,11.57%,RPS17;RPS10;RPS5;RPS13;RPL9;RPL27;RPL17;RPS23;RPS26;RPL18;RPL32;RPS9;RPL30;RPS11;RPL24;RPS28;RPL15;RPL11;RPL19;RPL39;RPL10A;RPL36;RPS25;RPL18A;RPL31;RPS19;RPL8;RPL38;RPL13A;RPS21;RPL41;RPS29;RPS7;RPL7A;RPS27;RPS4X;SERP1;RPS18;RPS3;EIF3H;RPL6
prerank,Azurophil Granule Membrane (GO:0035577),0.5949323950662231,2.2015171307021366,0.0,0.0,0.0,30/54,18.84%,GLIPR1;ARL8A;TMEM30A;VAMP8;LAMP2;RAB5C;CPNE3;SURF4;STOM;VAPA;DNAJC13;ATP11B;NDUFC2;RAB37;RAP1B;DNAJC5;LPCAT1;SYNGR1;SLCO4C1;LAMP1;TMEM179B;CD63;AZU1;DDOST;VAMP7;CMTM6;PSAP;RAB44;ATP6V0C;LAMTOR1
prerank,Phagocytic Vesicle (GO:0045335),0.5536992234510224,2.16194343894657,0.0,0.0,0.0,50/93,23.81%,RAB11FIP5;RAB22A;B2M;ITGAV;SYT11;RAB14;HLA-A;HLA-B;ATP6V0E1;HLA-C;VAMP8;FMNL1;RAB8B;TAP1;CALR;HLA-E;ATG5;RAB11A;ATG12;RAB5A;PDIA3;RAB9A;CYBA;RAB7A;HLA-F;GNLY;CORO1A;RAB8A;ATP6V0B;ADAM8;TAPBP;TAP2;PIK3C3;ATP6V0D1;APLP2;CTSS;MTOR;VAMP7;ZDHHC5;ATP6V0C;STX12;RAC2;ATP7A;STX4;VAMP3;RAB38;ANXA11;CLCN3;ITGB5;ATP6V0A2
prerank,Phagocytic Vesicle Membrane (GO:0030670),0.6058668391165352,2.1466733774317883,0.0,0.0,0.0,24/42,18.96%,B2M;HLA-A;HLA-B;ATP6V0E1;HLA-C;VAMP8;TAP1;CALR;HLA-E;ATG5;ATG12;CYBA;RAB7A;HLA-F;ATP6V0B;TAPBP;TAP2;PIK3C3;ATP6V0D1;APLP2;ATP6V0C;RAC2;ATP7A;STX4
prerank,Recycling Endosome Membrane (GO:0055038),0.585724857332387,2.129817288900671,0.0,0.0,0.0,38/64,24.02%,OPTN;NDRG1;SCAMP2;LZTR1;RAP2A;B2M;RAP2B;RAB14;VTI1B;EHD1;HLA-A;HLA-B;SCAMP1;ARF6;HLA-C;VAMP8;RAB8B;CD274;HLA-E;RAB11A;FZD7;PDIA3;RAC1;RAB35;HLA-F;RAB8A;SLC9A9;EHD4;ATP13A3;CMTM6;SCAMP4;RAB11FIP4;RAB11FIP3;ATP9A;NSG1;VAMP3;BOK;SLC9A5
prerank,Endosome Membrane (GO:0010008),0.5006787628714917,2.108843209314203,0.0,0.0,0.0,155/324,24.04%,ITGB1;OPTN;ANXA2;ANXA1;NDRG1;VPS33A;SCAMP2;AP2B1;ATP13A2;LZTR1;RAP2A;B2M;ABHD17C;TMBIM1;RAP2B;RNF167;ADRB2;RAP1A;RAB14;VTI1B;TMEM30A;ZFYVE28;EHD1;ANXA6;HLA-A;HLA-B;SCAMP1;ATP6V0E1;ARF6;HLA-C;VPS26A;LAMTOR2;VAMP8;RAB8B;CD274;VPS37A;PSENEN;RIPK1;VPS36;LAMP2;ATP6AP2;HLA-E;TMEM165;RAB5C;RAB11A;FZD7;SNX6;SPHK1;AP3D1;RAB5A;PDIA3;DNAJC13;RAC1;AP2M1;NTRK1;VPS28;ATP11B;ACAP2;RAB35;ATG16L1;PLEKHF1;VPS4B;TRAF6;ABHD17A;SNX20;VPS13A;IRAK4;WASHC1;RAB5B;IFITM2;RAB7A;TSG101;HLA-F;TLR3;MYD88;IGF2R;VTI1A;VPS16;PI4K2A;ANKFY1;RAB8A;MVB12B;ATP6V0B;ATP6AP1;SLC9A9;WASHC5;RHOU;WASHC2A;WASHC2C;ATP6V0D1;EHD4;CLN3;LAMP1;SNX1;WIPI1;ARHGAP1;UBB;CD63;ATP13A3;AP2S1;WDR81;RMC1;APLP2;ABHD6;LDLR;TFRC;CLTC;RUFY1;MON2;LAPTM4A;MR1;USP8;VAMP7;CMTM6;CD14;LLGL1;SNX16;SLC15A4;SCAMP4;ATP6V0C;PLD3;CLTA;TMEM163;LAMTOR4;VPS4A;SNX17;SLC29A3;ATP7A;LAMTOR1;RAB11FIP4;ZFYVE16;VPS18;RAB11FIP3;UBA1;TBC1D5;TMEM184A;ATP9A;SNX12;APH1A;SLA2;NSG1;WASHC3;VAMP3;TICAM1;RNF13;VPS41;SNF8;CTSD;BOK;AP2A2;CLCN3;VPS11;ATP6V0A2;SLC9A5;STARD3NL
prerank,COPII-coated ER To Golgi Transport Vesicle (GO:0030134),0.5395714763602957,2.063856655138212,0.0,0.0,0.0,43/71,32.49%,F8;B2M;TMED5;USO1;VTI1B;HLA-A;HLA-B;ECPAS;HLA-C;HLA-E;TMED9;SEC24A;LMAN2;CTSC;TMED2;SAR1B;HLA-F;VTI1A;IER3IP1;TMED4;SEC23A;GNAO1;LMAN1;YIF1A;SEC13;SEC16A;SEC16B;CNIH4;GOLGA2;SEC24C;SEC31A;SLC30A5;TMED10;LMAN2L;SEC23IP;CD59;TMED1;TMED7;GOSR2;HLA-DPA1;TEX261;KLHL12;DDHD2
prerank,Late Endosome (GO:0005770),0.49761287345259964,2.0633876484537006,0.0,0.0,0.0,95/179,26.24%,ANXA2;VPS33A;ATP13A2;MYO5A;RNF149;RAP1A;RAB14;VTI1B;TMEM30A;FYCO1;ANXA6;ECPAS;CHMP1A;LAMTOR2;VAMP8;RAB27A;TMEM59;KIDINS220;VPS36;LAMP2;F2R;RAB11A;MAP2K2;RAB9A;NTRK1;CST7;STX8;VPS13C;SPPL2A;IFITM2;RAB7A;TSG101;CHMP2A;IGF2R;VTI1A;VPS16;ANKRD27;MVB12B;SLC9A9;LRAT;ABCA5;PIK3C3;HDAC6;CLN3;LAMP1;CD63;ATP13A3;WDR81;RMC1;ABHD6;LDLR;RAPGEF2;CTSS;LAPTM4A;MR1;VAMP7;MAPK1;VPS26B;SNX16;EXOC8;PSAP;CHMP4A;PLD3;LAMTOR4;RAB27B;VPS4A;SLC29A3;ATP7A;LAMTOR1;VPS18;SDF4;SNX14;SLC38A9;GRN;SLC30A2;NSG1;CHMP2B;HTT;RNF13;CLTCL1;VPS41;SNF8;ZFYVE26;AP5M1;MAGI2;CLCN3;VPS11;AP5Z1;STARD3NL;CHMP5;IL12A;ANXA8;MICALL1;VAMP5;PIK3R4
prerank,Coated Vesicle Membrane (GO:0030662),0.55966814767197,2.0498571826090073,0.0,0.0,0.0,29/51,27.65%,B2M;USO1;VTI1B;HLA-A;HLA-B;HLA-C;HLA-E;SEC24A;TMED2;SAR1B;HLA-F;VTI1A;SEC23A;KDELR2;GNAO1;LMAN1;SEC13;SEC16A;SEC16B;CNIH4;TEPSIN;SEC24C;SEC31A;SLC30A5;TMEM199;TMED10;DENND1A;KDELR1;CD59
prerank,Recycling Endosome (GO:0055037),0.513463836901528,2.046806282376624,0.0,0.0,0.0,76/141,26.90%,OPTN;NDRG1;SCAMP2;RAB11FIP5;LZTR1;MYO5A;RAP2A;B2M;SYT11;RAP2B;RAB14;VTI1B;EHD1;HLA-A;HLA-B;SCAMP1;ARF6;HLA-C;VAMP8;RAB8B;CD274;PLEKHA3;HLA-E;COMMD1;RAB11A;FZD7;RAN;TPP1;PDIA3;RAC1;FCHSD1;ATP11B;RAB35;STX8;RAB10;WASHC1;PHETA2;HLA-F;VPS16;RAB8A;RAB29;SLC9A9;GRIPAP1;EHD4;CLN3;ATP13A3;MELTF;TBC1D17;TFRC;STX6;CMTM6;SCAMP4;ZDHHC2;DYNC1I1;STX12;RAB11FIP4;RAB11FIP3;ULK1;ATP9A;NSG1;VPS53;TUBA1A;AKAP5;VAMP3;CLTCL1;SNF8;RAB4B;BOK;CLCN3;SLC9A5;SLC9B2;MICALL1;PLEKHJ1;TNF;USP6;AP1G1
prerank,Ficolin-1-Rich Granule (GO:0101002),0.49709811198649523,2.0190129316946113,0.0,0.0010626425348148867,0.01,95/178,26.79%,CD58;VCL;CANT1;PSMD11;PGAM1;DYNLL1;CAPN1;SRP14;ARL8A;DIAPH1;HSP90AA1;HSPA1A;DYNC1LI1;COPB1;HMGB1;PSMC3;PPIA;PSMD2;LAMP2;ATP6AP2;PSMA5;ACLY;ACTR2;RHOA;ENPP4;PSMC2;RAC1;PSMD12;HUWE1;APAF1;LGALS3;NFASC;ARPC5;PKM;PDAP1;VCP;GYG1;XRCC6;ITGB2;BIN2;PSMD7;NBEAL2;NCKAP1L;OSTF1;HSPA8;CLU;ADAM8;PSMD6;IDH1;PSMB1;CSTB;DYNLT1;VPS35L;LAMP1;TMEM179B;GPI;ACTR10;GSTP1;CSNK2B;IMPDH1;FGL2;KPNB1;CTSS;GSDMD;MAPK1;MAPK14;ATP6V0C;PSMD14;FTH1;LAMTOR1;PAFAH1B2;TBC1D10C;PLEKHO2;CST3;CD300A;PGM1;CDK13;APEH;ACTR1B;FCN1;AGL;CTSD;AP2A2;MVP;GUSB;KCMF1;PSMB7;GLB1;PNP;PSMA2;GNS;SERPINB6;MNDA;GMFG;STBD1
prerank,Filopodium (GO:0030175),0.5858895844769688,2.0155515980899867,0.0,0.0009660386680135335,0.01,23/47,21.64%,ITGB1;RDX;ACTA2;SYNE2;PODXL;DAG1;ITGAV;RAPGEF3;IQGAP2;TWF1;ARF6;LCP1;CDC42;MSN;UTRN;FXR2;FMR1;EZR;NF2;SPATA13;TBC1D10C;TWF2;PPP1R9B
prerank,Lumenal Side Of Endoplasmic Reticulum Membrane (GO:0098553),0.6344933983292933,1.9997161262427512,0.0,0.0008855354456790723,0.01,11/24,16.18%,HLA-A;HLA-B;HLA-C;CALR;HLA-E;SPPL2A;HLA-F;TAPBP;GNAO1;CANX;PKD2
prerank,Autophagosome (GO:0005776),0.530328250616989,1.9995166385555216,0.0,0.0008174173344729899,0.01,43/78,24.41%,VPS33A;ATP13A2;MAP1LC3B;FYCO1;CHMP1A;SH3GLB1;PLEKHM1;LAMP2;ATG5;SQSTM1;GABARAPL1;TBC1D25;TEX264;ATG16L1;CALCOCO2;WASHC1;OSBPL7;AUP1;CHMP2A;VMP1;VTI1A;HSPA8;PIK3C3;PIP4K2A;CLN3;WIPI1;UBQLN4;WDR81;MAP1LC3A;NCOA4;BECN1;CHMP4A;FTH1;ZFYVE1;ULK1;TBC1D5;JMY;FTL;CHMP2B;HTT;ULK3;CHMP5;GABARAPL2
prerank,Small-Subunit Processome (GO:0032040),-0.43056967299497895,-1.9763383511340866,0.0,0.0036010966976306423,0.04,23/70,8.96%,RPS17;RPS3A;RPS5;RPS13;RPS23;RPS6;RPS9;RPS8;RPS11;RPS28;RPS27A;RPS16;RPS14;RPS15A;RPS19;FBL;RPS7;RPS27;RPS4X;SPPL2B;WDR3;RPS24;WDR43
prerank,Azurophil Granule (GO:0042582),0.4973853212155173,1.9728385150983931,0.0,0.0007590303820106335,0.01,70/137,26.41%,ANXA2;TUBB4B;GLIPR1;ARL8A;CTSG;TMEM30A;VAMP8;LAMP2;HEXB;RAB5C;CPNE3;SURF4;ACLY;STOM;ACTR2;VAPA;DPP7;DNAJC13;TRAPPC1;DYNC1H1;CTSC;ATP11B;DNAJC3;NDUFC2;PSMD1;RAB37;LYZ;VCP;ARSA;PTGES2;FUCA1;RAP1B;DNAJC5;CYB5R3;LPCAT1;SYNGR1;SLCO4C1;PYCARD;LAMP1;TMEM179B;AGA;ACTR10;CD63;IMPDH1;GGH;AZU1;DDOST;IST1;VAMP7;MAPK1;CMTM6;PSAP;RAB44;STX3;ATP6V0C;LAMTOR1;GRN;TUBB2A;FTL;B4GALT1;ANXA11;UNC13D;C3AR1;GUSB;GLB1;PRKCD;GALNS;GNS;STXBP2;MNDA
prerank,Late Endosome Membrane (GO:0031902),0.5058312503927693,1.9610257916838871,0.0,0.0007084283565432579,0.01,39/75,25.03%,ANXA2;ATP13A2;VTI1B;TMEM30A;ANXA6;CHMP1A;LAMTOR2;VAMP8;RAB27A;VPS36;LAMP2;IFITM2;SLC9A8;RAB7A;LITAF;CHMP2A;VTI1A;SLC9A9;CD63;ATP13A3;WDR81;RMC1;ABHD6;LAPTM4A;MR1;VAMP7;CHMP4A;PLD3;LAMTOR4;RAB27B;SLC29A3;LAMTOR1;CHMP2B;RNF13;VPS41;SNF8;STARD3NL;CHMP5;ANXA8
