Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GDP Binding (GO:0019003),0.5833960983147961,2.1154433443883938,0.0,0.0,0.0,39/57,29.21%,GNAI3;RAP2A;RAB18;RAB22A;RAP2B;RAP1A;RAB14;RHEBL1;DYNC1LI1;RAB27A;RAB8B;RAB2A;RAB5C;RAN;ARL3;RAB5A;RAB9A;RAB35;RAB10;RAB5B;ERAS;RAB7A;RAP1B;RAB8A;RAB29;RASEF;RIT1;RAB27B;HRAS;SRP54;KRAS;RRAGC;ARL8B;RALB;RAB28;GBP1;RAB4A;RAB21;RAB11B
prerank,Protein Phosphatase Regulator Activity (GO:0019888),0.5649697660080842,2.080506427757282,0.0,0.0,0.0,37/56,27.65%,PPP2R5C;ARPP19;RCAN2;CALM1;PPP2R2B;PHACTR4;CALM2;PPP2R5A;PPP4R2;PPP2R3A;LGALS3;PPP2R5B;DMPK;PPP1R16B;PPP2R5E;RCAN1;PTPA;PPP2R1B;PPP4R3A;PPP2R2A;PPP1R15B;PPP3R1;SET;EIF2AK2;PPP2R2C;SHOC2;PPP2R1A;PPP6R2;PPP1R9B;PPP6R3;PPP6R1;PPP4R1;ENSA;PPP2R5D;PPP1R15A;PPP4R3B;PPP1R16A
prerank,Guanyl Ribonucleotide Binding (GO:0032561),0.46524548282887873,1.9323110440675366,0.0,0.014496638964185361,0.04,97/190,29.21%,TUBB4B;GNAI3;RAP2A;RAB18;RAB22A;ATL3;RAP2B;ARL8A;RAP1A;RAB14;ANXA6;TUBA8;ARF1;RHEBL1;DYNC1LI1;ARF6;TUBA1B;RAB27A;RAB8B;ARF5;RAB26;ATL1;RAB2A;GBP3;CDC42;RAB5C;RAB11A;RAN;RHOA;ARL3;GBP5;RAB5A;RAC1;TUBA1C;ARL4C;RAB9A;RAB35;RAB2B;RAB37;RAB10;GNL1;RABL6;RAB5B;RHOF;ERAS;RAB7A;ARF3;RAP1B;PDE2A;RHOG;RAB8A;RAB6A;RAB1B;RAB29;RHOU;PDE11A;RASEF;RIT1;ARF4;AGAP2;SCG5;RRAGA;RAPGEF2;ARL5A;ARL1;RAB27B;RAC2;HRAS;SRP54;GBP2;KRAS;TUBB2A;GNL2;TUBA1A;RRAGC;RAB38;TUBA4A;RAB4B;TUBB4A;ARL8B;ARL5B;ARL4D;GCH1;RALB;LSG1;GLUD1;RHOC;MMAA;RAB28;PDE5A;GLUD2;GBP1;RAB4A;DNM2;RND1;RAB21;RAB11B
prerank,GTP Binding (GO:0005525),0.46443335380628226,1.9306118031941013,0.0,0.013590599028923775,0.05,88/172,29.21%,TUBB4B;RAP2A;RAB22A;ATL3;RAP2B;ARL8A;RAP1A;RAB14;ANXA6;TUBA8;ARF1;RHEBL1;DYNC1LI1;ARF6;TUBA1B;RAB27A;ARF5;RAB26;ATL1;RAB2A;GBP3;CDC42;RAB11A;RAN;RHOA;ARL3;GBP5;RAB5A;RAC1;TUBA1C;ARL4C;RAB9A;RAB35;RAB2B;RAB37;RAB10;GNL1;RABL6;RHOF;ERAS;RAB7A;ARF3;RAP1B;RHOG;RAB8A;RAB6A;RAB1B;RAB29;RHOU;RASEF;RIT1;ARF4;AGAP2;SCG5;RRAGA;ARL5A;ARL1;RAB27B;RAC2;HRAS;SRP54;GBP2;KRAS;TUBB2A;GNL2;TUBA1A;RRAGC;RAB38;TUBA4A;RAB4B;TUBB4A;ARL8B;ARL5B;ARL4D;GCH1;RALB;LSG1;GLUD1;RHOC;MMAA;RAB28;GLUD2;GBP1;RAB4A;DNM2;RND1;RAB21;RAB11B
prerank,MHC Protein Binding (GO:0042287),0.6029313905229015,1.9090734639941451,0.0,0.015221470912394628,0.07,19/30,26.61%,TUBB4B;TRAV8-4;LAG3;TAP1;FCRL6;HLA-E;LILRB1;CD81;DERL1;KIR3DL2;TRBV12-3;TRGV3;TAPBP;TAP2;CD8A;TUBB2A;ATP5F1B;CD244;TRBV7-9
prerank,Tau Protein Binding (GO:0048156),0.5616403168187205,1.894405960391108,0.0,0.0181207987052317,0.1,24/38,24.52%,MARK4;ROCK1;HSP90AA1;STUB1;ROCK2;PICALM;MARK3;DCTN1;TAOK2;TAOK1;GSK3A;PIN1;BRSK2;FYN;CLU;HDAC6;PRKAA1;EP300;PPP5C;BIN1;CDK5;PPP2CA;MARK2;APOE
prerank,rRNA Binding (GO:0019843),-0.43934943133180376,-1.8929416067812435,0.0,0.04618271034781353,0.07,16/45,9.96%,RPS5;RPS13;RPL17;RPL5;RPS9;RPL12;RPL11;RPS14;NPM1;MTERF4;MRPS27;RPF2;RPLP0;DDX28;NOP53;RPS3
prerank,Ubiquitin Protein Ligase Binding (GO:0031625),0.4375383106165386,1.8816033715783589,0.0,0.01863853581109546,0.12,129/254,29.00%,VCL;NGFR;CUL4A;UBE2L3;DNAJA1;SUMO2;RNF34;RNF8;SYT11;PSMA3;SLF1;DAZAP2;MAP1LC3B;TNFRSF1B;HSP90AA1;SMAD7;TMBIM6;HSPA1A;FBXW7;STUB1;FBXO7;PRKAR2A;OTUB1;TUBA1B;PRR5L;YWHAZ;SUMO1;UBE2A;RIPK1;RBX1;CALR;SQSTM1;GABARAPL1;NEDD8;BAG1;PYHIN1;EIF4E2;RELA;CASP8;DERL1;JKAMP;UBE2G1;XRCC5;UBE2K;UBE2D3;MFN2;PSMD1;PTPN22;SCN5A;UBXN7;WASHC1;VCP;CTNNB1;TRIM37;AUP1;DNM1L;ARRB2;TSG101;AXIN1;USP25;HSPA5;FZD4;PINK1;GLMN;ELOB;HSPA8;CLU;TPI1;NFKBIA;ISG15;UQCRC1;CASC3;UBE2J2;UBE2B;HDAC6;GPI;UBE2L6;MUL1;UBB;PML;MAP1LC3A;RRAGA;ACTG1;POLR2A;SLC22A18;MDM2;PRKAR1A;PIAS4;BLZF1;KDM4A;BAG6;RPA2;BECN1;DAXX;BAG5;HSPBP1;ATP6V0C;IKBKG;RTN4;HSPA9;SMAD5;BAG4;TUBB2A;TANK;RNF40;RAD18;UBE2D1;RNF31;SLF2;FZD8;TRIOBP;UBE2W;GABARAPL2;TCP1;RALB;SMG5;MC1R;AMBRA1;HM13;HSPA6;PA2G4;ZNF746;BRCA1;SMAD3;ARIH1;HSPA1B;EGR2;YWHAE;JAK1
prerank,Phosphatidylinositol Phosphate Binding (GO:1901981),0.48245390375666763,1.860845085582983,0.0,0.019026838640493284,0.13,57/97,33.86%,SNX24;MYO1G;RNF34;IQGAP2;ZFYVE28;PLEKHA5;PLEKHA3;GBF1;ATG2A;OSBPL8;COMMD1;ARAP2;PLEKHF1;IQGAP1;SNX20;AKT1;MAPT;ANKFY1;SAP30L;DENND1B;WDR45B;WASHC2A;WASHC2C;PLEKHN1;GOLPH3;WIPI1;WDR45;FUNDC2;GSDMD;ARAP3;ATG2B;ZFYVE16;ZFYVE1;SNX12;SNX11;OSBPL5;OSBP;ZFYVE26;VPS13B;MAPKAP1;SNX27;ANXA8;DENND1A;ARFIP1;ZFYVE19;GSDMA;NLRP3;WIPI2;RACGAP1;FERMT2;PLEKHB2;ARAP1;SNX3;RUBCN;SNX4;RUFY4;GAB2
prerank,Ubiquitin Binding (GO:0043130),0.5003900046913211,1.8540534985111472,0.0,0.018120798705231696,0.14,56/77,38.94%,MARK4;FBXW7;FBXO7;SPRTN;OTUB1;UBE2A;VPS36;SQSTM1;UBXN2B;VPS28;UBXN7;SHARPIN;TSG101;WDR48;USP25;MVB12B;USP33;RNF19B;PLAA;UBE2L6;TNFAIP3;MDM2;UBXN10;NUP62;RNF168;N4BP1;BUB3;IKBKG;SIRT2;RAD23A;RAD23B;RNF31;RNF185;TRIM32;RBCK1;USP16;MAP3K7;SMAD3;UBAP1L;UBAP1;NBR1;HGS;MVB12A;FAF2;NEDD4;TOLLIP;UBXN8;RNFT1;UEVLD;TOM1;UBE2N;NPLOC4;NSFL1C;RAE1;CKS2;DHX16
