Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Eukaryotic Translation Elongation R-HSA-156842,-0.8138609624193207,-4.028076949278,0.0,0.0,0.0,78/88,11.98%,RPS17;EEF1G;EEF1B2;RPL23;RPS3A;RPS10;RPL21;RPLP1;RPS5;RPL22;RPS13;RPL9;RPL27;RPS23;RPL5;RPL18;RPL32;RPS6;RPS9;RPL12;RPLP2;RPL30;RPS8;RPS11;RPS28;RPL7;RPL15;RPL11;RPS27A;RPL37A;RPL29;RPS16;RPL36A;RPS14;RPL19;UBA52;RPS15A;RPS12;RPL37;RPL39;RPL34;RPL10A;RPL36;RPS25;RPS20;RPL35A;RPL28;FAU;RPS15;EEF1A1;RPL18A;RPL26;RPL31;RPS19;RPSA;RPL27A;RPL8;RPL38;RPL13A;RPS21;RPL41;RPS2;RPS29;RPS7;RPL7A;RPS27;RPS4X;RPL4;RPLP0;RPL3;RPL23A;RPS24;EEF1D;RPL35;RPS3;RPL14;RPL6;RPS4Y1
prerank,Peptide Chain Elongation R-HSA-156902,-0.8110541939191571,-3.923077177650793,0.0,0.0,0.0,75/84,11.98%,RPS17;RPL23;RPS3A;RPS10;RPL21;RPLP1;RPS5;RPL22;RPS13;RPL9;RPL27;RPS23;RPL5;RPL18;RPL32;RPS6;RPS9;RPL12;RPLP2;RPL30;RPS8;RPS11;RPS28;RPL7;RPL15;RPL11;RPS27A;RPL37A;RPL29;RPS16;RPL36A;RPS14;RPL19;UBA52;RPS15A;RPS12;RPL37;RPL39;RPL34;RPL10A;RPL36;RPS25;RPS20;RPL35A;RPL28;FAU;RPS15;EEF1A1;RPL18A;RPL26;RPL31;RPS19;RPSA;RPL27A;RPL8;RPL38;RPL13A;RPS21;RPL41;RPS2;RPS29;RPS7;RPL7A;RPS27;RPS4X;RPL4;RPLP0;RPL3;RPL23A;RPS24;RPL35;RPS3;RPL14;RPL6;RPS4Y1
prerank,Selenocysteine Synthesis R-HSA-2408557,-0.8022253080544469,-3.910386394401063,0.0,0.0,0.0,75/87,11.98%,RPS17;RPL23;RPS3A;RPS10;RPL21;RPLP1;RPS5;RPL22;RPS13;RPL9;RPL27;RPS23;RPL5;RPL18;RPL32;RPS6;RPS9;RPL12;RPLP2;RPL30;RPS8;RPS11;RPS28;RPL7;RPL15;RPL11;RPS27A;RPL37A;RPL29;RPS16;RPL36A;RPS14;RPL19;UBA52;RPS15A;RPS12;RPL37;RPL39;RPL34;RPL10A;RPL36;RPS25;RPS20;RPL35A;RPL28;FAU;RPS15;RPL18A;RPL26;RPL31;RPS19;RPSA;RPL27A;RPL8;RPL38;RPL13A;RPS21;RPL41;RPS2;RPS29;RPS7;RPL7A;RPS27;RPS4X;RPL4;RPLP0;RPL3;RPL23A;RPS24;RPL35;RPS3;RPL14;SECISBP2;RPL6;RPS4Y1
prerank,Eukaryotic Translation Termination R-HSA-72764,-0.7893595206833134,-3.8729037805609665,0.0,0.0,0.0,76/88,11.98%,RPS17;N6AMT1;GSPT2;RPL23;RPS3A;RPS10;RPL21;RPLP1;RPS5;RPL22;RPS13;RPL9;RPL27;RPS23;RPL5;RPL18;RPL32;RPS6;RPS9;RPL12;RPLP2;RPL30;RPS8;RPS11;RPS28;RPL7;RPL15;RPL11;RPS27A;RPL37A;RPL29;RPS16;RPL36A;RPS14;RPL19;UBA52;RPS15A;RPS12;RPL37;RPL39;RPL34;RPL10A;RPL36;RPS25;RPS20;RPL35A;RPL28;FAU;RPS15;RPL18A;RPL26;RPL31;RPS19;RPSA;RPL27A;RPL8;RPL38;RPL13A;RPS21;RPL41;RPS2;RPS29;RPS7;RPL7A;RPS27;RPS4X;RPL4;RPLP0;RPL3;RPL23A;RPS24;RPL35;RPS3;RPL14;RPL6;RPS4Y1
prerank,Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956,-0.771114561098845,-3.8402503921864235,0.0,0.0,0.0,76/90,11.98%,RPS17;GSPT2;RPL23;RPS3A;RPS10;RPL21;RPLP1;RPS5;RPL22;RPS13;RPL9;RPL27;RPS23;RPL5;RPL18;RPL32;RPS6;RPS9;RPL12;RPLP2;RPL30;RPS8;RPS11;RPS28;RPL7;RPL15;RPL11;RPS27A;RPL37A;RPL29;RPS16;RPL36A;RPS14;RPL19;UBA52;RPS15A;RPS12;RPL37;RPL39;RPL34;RPL10A;RPL36;RPS25;RPS20;RPL35A;RPL28;FAU;PABPC1;RPS15;RPL18A;RPL26;RPL31;RPS19;RPSA;RPL27A;RPL8;RPL38;RPL13A;RPS21;RPL41;RPS2;RPS29;RPS7;RPL7A;RPS27;RPS4X;RPL4;RPLP0;RPL3;RPL23A;RPS24;RPL35;RPS3;RPL14;RPL6;RPS4Y1
prerank,Viral mRNA Translation R-HSA-192823,-0.7778928668709842,-3.8289973371585813,0.0,0.0,0.0,75/88,11.98%,RPS17;RPL23;RPS3A;RPS10;RPL21;RPLP1;RPS5;RPL22;RPS13;RPL9;RPL27;RPS23;RPL5;RPL18;RPL32;RPS6;RPS9;RPL12;RPLP2;RPL30;RPS8;RPS11;RPS28;RPL7;RPL15;RPL11;RPS27A;RPL37A;RPL29;RPS16;RPL36A;RPS14;RPL19;UBA52;RPS15A;RPS12;RPL37;RPL39;RPL34;RPL10A;RPL36;RPS25;RPS20;RPL35A;RPL28;FAU;RPS15;RPL18A;RPL26;RPL31;RPS19;RPSA;RPL27A;RPL8;RPL38;RPL13A;RPS21;RPL41;RPS2;RPS29;RPS7;RPL7A;RPS27;GNL3;RPS4X;RPL4;RPLP0;RPL3;RPL23A;RPS24;RPL35;RPS3;RPL14;RPL6;RPS4Y1
prerank,Formation Of A Pool Of Free 40S Subunits R-HSA-72689,-0.7647320286693358,-3.8032171498153104,0.0,0.0,0.0,78/96,12.61%,RPS17;RPL23;RPS3A;RPS10;RPL21;RPLP1;RPS5;RPL22;EIF3E;RPS13;RPL9;RPL27;RPS23;RPL5;RPL18;RPL32;RPS6;RPS9;RPL12;RPLP2;RPL30;RPS8;RPS11;RPS28;RPL7;RPL15;RPL11;RPS27A;RPL37A;RPL29;RPS16;RPL36A;RPS14;EIF3L;RPL19;UBA52;RPS15A;RPS12;RPL37;RPL39;RPL34;RPL10A;RPL36;RPS25;RPS20;RPL35A;RPL28;FAU;RPS15;RPL18A;RPL26;RPL31;RPS19;RPSA;RPL27A;RPL8;RPL38;RPL13A;RPS21;RPL41;RPS2;RPS29;RPS7;RPL7A;RPS27;RPS4X;RPL4;RPLP0;RPL3;RPL23A;RPS24;RPL35;RPS3;RPL14;EIF3H;RPL6;RPS4Y1;EIF3D
prerank,Selenoamino Acid Metabolism R-HSA-2408522,-0.7430229765665877,-3.795921612909035,0.0,0.0,0.0,78/101,12.31%,RPS17;RPL23;RPS3A;RPS10;RPL21;RPLP1;RPS5;RPL22;RPS13;RPL9;RPL27;RPS23;RPL5;RPL18;RPL32;RPS6;RPS9;RPL12;RPLP2;RPL30;RPS8;RPS11;RPS28;RPL7;RPL15;RPL11;RPS27A;RPL37A;RPL29;RPS16;RPL36A;RPS14;VSIG2;RPL19;UBA52;RPS15A;RPS12;RPL37;RPL39;RPL34;RPL10A;RPL36;RPS25;RPS20;RPL35A;RPL28;FAU;RPS15;RPL18A;RPL26;RPL31;RPS19;RPSA;RPL27A;RPL8;RPL38;RPL13A;RPS21;RPL41;RPS2;RPS29;RPS7;RPL7A;RPS27;RPS4X;RPL4;RPLP0;RPL3;RPL23A;AIMP1;RPS24;RPL35;RPS3;RPL14;SECISBP2;RPL6;RPS4Y1;AHCY
prerank,Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012,-0.7415606982828744,-3.7812824762942956,0.0,0.0,0.0,76/96,11.98%,RPS17;RPL23;RPS3A;RPS10;RPL21;RPLP1;RPS5;RPL22;RPS13;RPL9;RPL27;RPS23;RPL5;RPL18;RPL32;RPS6;RPS9;RPL12;RPLP2;RPL30;RPS8;RPS11;RPS28;RPL7;RPL15;RPL11;RPS27A;RPL37A;RPL29;RPS16;RPL36A;RPS14;RPL19;UBA52;RPS15A;RPS12;RPL37;RPL39;RPL34;EIF2S3;RPL10A;RPL36;RPS25;RPS20;RPL35A;RPL28;FAU;RPS15;RPL18A;IMPACT;RPL26;RPL31;RPS19;RPSA;RPL27A;RPL8;RPL38;RPL13A;RPS21;RPL41;RPS2;RPS29;RPS7;RPL7A;RPS27;RPS4X;RPL4;RPLP0;RPL3;RPL23A;RPS24;RPL35;RPS3;RPL14;RPL6;RPS4Y1
prerank,L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827,-0.715831482499362,-3.642185846176858,0.0,0.0,0.0,80/106,12.61%,RPS17;RPL23;RPS3A;RPS10;RPL21;RPLP1;RPS5;RPL22;EIF3E;RPS13;RPL9;RPL27;RPS23;RPL5;RPL18;RPL32;RPS6;RPS9;RPL12;RPLP2;RPL30;RPS8;RPS11;RPS28;RPL7;RPL15;RPL11;RPS27A;RPL37A;RPL29;RPS16;RPL36A;RPS14;EIF3L;RPL19;UBA52;RPS15A;RPS12;RPL37;RPL39;RPL34;EIF2S3;RPL10A;RPL36;RPS25;RPS20;RPL35A;RPL28;FAU;PABPC1;RPS15;RPL18A;RPL26;RPL31;RPS19;RPSA;RPL27A;RPL8;RPL38;RPL13A;RPS21;RPL41;RPS2;RPS29;RPS7;RPL7A;RPS27;RPS4X;RPL4;RPLP0;RPL3;RPL23A;RPS24;RPL35;RPS3;RPL14;EIF3H;RPL6;RPS4Y1;EIF3D
