Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Cytoplasmic Translation (GO:0002181),-0.7418273753107397,-4.351314051312022,0.0,0.0,0.0,75/91,12.68%,RPL21;RPS17;RPL10A;RPS10;RPS9;RPS5;RPS3A;RPL27;RPS26;RPL9;RPL22;RPLP2;RPL15;RPS23;RPS11;RPL13;RPL19;RPLP1;RPL12;RPS15A;RPL18;RPL5;FAU;RPS20;RPL37A;RPS24;RPSA;RPL30;RPL32;RPS28;RPL23A;RPS27A;RPS8;RPL37;RPL7;RPL34;RPL17;RPS16;RPS13;UBA52;RPS6;RPS15;RPS21;RPS27;RPL26;RPL29;RPS2;RPL7A;RPL35A;RPL39;RPS3;RPS29;RPS14;RPL27A;RPL11;RPL8;RPS19;RPL24;RPL3;RACK1;RPS25;RPL18A;RPL38;RPL4;RPL13A;RPL36;RPS7;RPL31;RPS18;RPS4X;RPL10;RPL28;RPL35;RPLP0;RPL14
prerank,Peptide Biosynthetic Process (GO:0043043),-0.5623324927908816,-3.4790430948631497,0.0,0.0,0.0,89/143,12.68%,GSPT2;RPL21;RPS17;RPL10A;RPS10;RPS9;RPS5;RPS3A;RPL27;RPS26;RPL9;RPL22;RPLP2;RPL15;RPS23;RPS11;RPL13;RPL19;RPLP1;RPL12;RPS15A;RPL18;RPL5;FAU;RPS20;MRRF;RPL37A;RPS24;RPSA;RPL30;RPL32;RPS28;RPL23A;RPS27A;MRPS33;RPS8;RPL37;RPL7;RPL34;RPL17;PABPC4;RPS16;RPS13;RPS6;RPS15;RPS21;PCSK5;RPS27;RPL26;RPL29;MRPS16;RPS2;MRPS18B;RPL7A;RPL35A;RPL39;RPS3;RPS29;RPS14;RPL27A;RPL11;RPL8;RPS19;RPL24;RPL3;RPS25;RPL18A;RPL38;EEF1A1;RPL4;RPL13A;DHPS;RPL36;RPS7;RPL31;RPS18;RPS4X;GGT7;FARSB;RPL10;RPL28;HBS1L;RPS4Y2;MRPL52;RPL35;RPLP0;MRPL35;MRPS21;RPL14
prerank,Macromolecule Biosynthetic Process (GO:0009059),-0.49497988694449296,-3.079002693680361,0.0,0.0,0.0,95/172,12.68%,GSPT2;EEF1B2;RPL21;EEF1G;RPS17;POLD2;RPL10A;RPS10;RPS9;RPS5;RPS3A;RPL27;RPS26;TERT;GAL3ST4;RPL9;RPL22;RPLP2;RPL15;RPS23;RPS11;RPL13;RPL19;RPLP1;RPL12;RPS15A;RPL18;RPL5;FAU;RPS20;MRRF;RPL37A;RPS24;RPSA;RPL30;RPL32;RPS28;RPL23A;RPS27A;MRPS33;RPS8;RPL37;RPL7;RPL34;RPL17;PABPC4;RPS16;RPS13;RPS6;RPS15;RPS21;RPS27;RPL26;RPL29;MRPS16;RPS2;MRPS18B;RPL7A;POLL;RPL35A;RPL39;RPS3;RPS29;RPS14;RPL27A;RPL11;RPL8;RPS19;RPL24;RPL3;RPS25;RPL18A;RPL38;EEF1A1;RPL4;RPL13A;DHPS;RPL36;RPS7;RPL31;RPS18;RPS4X;FARSB;RPL10;EEF1D;RPL28;HBS1L;RPS4Y2;MRPL52;RPL35;RPLP0;ST3GAL2;MRPL35;MRPS21;RPL14
prerank,Translation (GO:0006412),-0.42301493831557074,-2.829411433540048,0.0,0.0,0.0,100/216,12.68%,GSPT2;MRPS27;EEF1B2;RPL21;MRPS25;EEF1G;RPS17;RPL10A;RPS10;RPS9;RPS5;RPS3A;RPL27;RPS26;RPL9;RPL22;RPLP2;RPL15;RPS23;RPS11;RPL13;RPL19;RPLP1;RPL12;RPS15A;RPL18;RPL5;FAU;RPS20;MRRF;RPL37A;RPS24;RPSA;RPL30;RPL32;RPS28;RPL23A;RPS27A;MRPS33;RPS8;RPL37;RPL7;RPL34;MRPS26;RPL17;PABPC4;MRPL53;RPS16;RPS13;UBA52;RPS6;RPS15;RPS21;RPS27;RPL26;RPL29;MRPS16;MRPL57;RPS2;MRPS18B;RPL7A;RPL35A;RPL39;RPS3;RPS29;RPS14;RPL27A;RPL11;RPL8;RPS19;RPL24;RPL3;RACK1;RPS25;RPL18A;RPL38;EEF1A1;RPL4;RPL13A;DHPS;RPL36;RPS7;RPL31;RPS18;RPS4X;FARSB;RPL10;EEF1D;MRPS31;RPL28;NDUFA7;HBS1L;RPS4Y2;MRPL40;MRPL52;RPL35;RPLP0;MRPL35;MRPS21;RPL14
prerank,Cellular Response To Lipopolysaccharide (GO:0071222),0.5747542074407211,2.4461163853872003,0.0,0.0,0.0,72/108,27.66%,CDC73;HMGB2;GIT1;CASP1;TNIP2;PDCD1LG2;TNFRSF1B;MYD88;CD274;IL1A;SELENOS;CARD16;ZC3H12A;TRAF6;NUGGC;GFI1;TGFB1;PRKCE;CCL5;PLAA;HMGB1;RELA;NLRP3;MTDH;CD14;GBP3;TNF;NOD2;CASP7;CTSG;PYCARD;RHOA;PF4;SBNO2;LILRB2;VIM;GBP2;TRIM41;TICAM1;XBP1;CHMP5;CCR5;PF4V1;CXCL8;NLRP7;PTPN22;ZFP36;TNIP1;NFKBIB;LILRB1;CXCL3;BCL10;PPBP;CX3CR1;ADAM9;IL1B;IL18;TNFAIP3;TNIP3;CD86;UPF1;HCK;GSTP1;CXCL11;SHPK;CCL3;TLR4;CTR9;IRAK1;MAPK14;CXCL1;PABPN1
prerank,Protein Exit From Endoplasmic Reticulum (GO:0032527),0.7237700083564045,2.3895518012866352,0.0,0.0,0.0,18/23,17.74%,SELENOS;SURF4;DERL2;ERLEC1;SEC61B;SEC13;LMAN1;HERPUD1;SEL1L;TMED9;OS9;HSP90B1;VCP;UFD1;DERL1;NPLOC4;PREB;SYVN1
prerank,Ribosomal Large Subunit Assembly (GO:0000027),-0.6029135087786115,-2.37788320108061,0.0,0.0012184726228947635,0.023,13/20,22.19%,NLE1;RPL5;RPL23A;DDX28;NOP53;RPL11;RPL10;RPF2;RPLP0;MDN1;FASTKD2;RPL6;BRIX1
prerank,Golgi Vesicle Transport (GO:0048193),0.5261081967920316,2.377838239549936,0.0,0.00038499432577593704,0.001,113/185,26.88%,SCAMP2;GOLGA5;ATL3;RER1;MYO5A;EXOC5;MYO18A;TMED5;SAR1B;VAPA;ARCN1;SCAMP1;USO1;ARF5;NAPG;PEF1;RAB2A;ARL3;TMEM115;GBF1;CNIH4;RAB8B;SNX12;GOLGA4;SURF4;BCAP29;NAPA;COG7;VTI1B;TRAPPC2L;BCAP31;COPB1;GOLPH3;SEC16B;KDELR2;RAB1A;ARF3;COPE;LMAN1;COPB2;RAB6A;TRAPPC10;TRAPPC4;SEC22A;COPA;HYOU1;SEC22C;RAB8A;SLC10A7;TMED9;TMED2;MIA2;PITPNB;SEC24D;TMED10;COG6;KIF1C;LMAN2;ARF4;RABIF;IER3IP1;WHAMM;SEC24A;STX10;DNM2;ATP9A;COPZ1;SEC31A;TMED1;TEX261;TRAPPC1;COPG1;SPIRE1;RAB1B;AP4M1;NRBP1;TFG;PREB;SNX2;SPAST;TMED4;SNX3;UVRAG;MIA3;SCFD1;BICD2;SEC24C;RAB29;BNIP1;VTI1A;GOLGA2;VAMP7;COPZ2;MPPE1;YIF1A;STX18;SAR1A;TAPBP;NSF;EHD3;SCAMP3;PDCD6;RP2;HTT;TMED7;ZW10;TRAPPC2;TRAPPC3;KDELR1;TRAPPC13;SNAP23;SNX1;YKT6
prerank,tRNA Methylation (GO:0030488),-0.49934459624218586,-2.3505231360504846,0.0,0.001501016999218187,0.033,19/36,19.68%,TRMT10B;NSUN6;TARBP1;GTPBP3;TRMT13;TRMT10A;WDR4;TRMT61A;TRMT10C;WDR6;THUMPD2;METTL1;LCMT2;TRDMT1;THUMPD3;TRMT44;TRMT1;TRMT1L;BCDIN3D
prerank,Cellular Response To Molecule Of Bacterial Origin (GO:0071219),0.5543750208487777,2.3493386648516013,0.0,0.00028874574433195276,0.001,63/99,27.66%,CDC73;HMGB2;GIT1;CASP1;TNIP2;PDCD1LG2;TNFRSF1B;MYD88;CD274;IL1A;SELENOS;CARD16;ZC3H12A;TRAF6;NUGGC;GFI1;TIRAP;PLAA;HMGB1;RELA;NLRP3;CD14;GBP3;NOD2;CASP7;CTSG;PYCARD;RHOA;PF4;SBNO2;LILRB2;VIM;GBP2;TRIM41;TICAM1;XBP1;CHMP5;CCR5;PF4V1;CXCL8;NLRP7;ZFP36;TNIP1;NFKBIB;LILRB1;CXCL3;BCL10;PPBP;CX3CR1;ADAM9;IL1B;TNFAIP3;TNIP3;CD86;UPF1;GSTP1;CXCL11;SHPK;TLR4;CTR9;MAPK14;CXCL1;PABPN1
prerank,Membrane Organization (GO:0061024),0.5210512483049639,2.332932236392713,0.0,0.00023099659546556222,0.001,98/146,33.08%,S100A10;ANXA2;TMEM43;EXOC5;REEP5;MYADM;SAR1B;HACE1;CLN3;VAPA;USO1;NAPG;REEP4;PICALM;SLC9A3R1;ATP2C1;CHMP1A;SH3GLB1;VPS28;UBXN2B;NAPA;OTOF;VTI1B;VPS37A;FCHO2;STX11;VAMP2;VPS4A;EXOC2;SYNJ1;AP3D1;TMEM33;TOR1B;TLCD1;RTP5;CHP1;VPS4B;TOR1AIP2;DMPK;VPS36;DNM1L;AP2M1;CHMP2A;VAMP3;HGS;RABIF;PRKCI;LMNA;DNM2;TOR1AIP1;HSPA8;CHMP5;CHRNB1;OPA1;NPC1;TOR1A;BIN1;CORO1C;OSBPL2;CEP55;TSG101;GLTP;SPAST;LEMD2;SNX3;MFN2;ESYT1;LPCAT3;REEP3;CTDNEP1;SNAP29;CHMP2B;CCDC88A;EXOC4;UBAP1;STX18;SAR1A;CHMP4A;PDCD6IP;GLTPD2;SNF8;VPS33B;EXOC8;SNAP23;RTP4;MVB12A;LMNB2;SYNGR1;SYNGR2;MTCH1;EXOC6;VPS37B;TMEM170A;EMD;STAM2;CHMP4C;PIP5K1C;PIK3C2A
prerank,Protein Neddylation (GO:0045116),0.7071496057357952,2.304110965047084,0.0,0.00019249716288796852,0.001,13/22,12.93%,UBE2F;RNF7;DCUN1D5;RBX1;COPS3;COPS4;GPS1;NEDD8;COPS5;COPS6;UBE2M;COPS8;COPS7A
prerank,tRNA Modification (GO:0006400),-0.43081216207134376,-2.287483574862212,0.0,0.002421808939915058,0.057,37/66,25.53%,DTWD2;ANKRD16;NSUN6;TARBP1;THG1L;QTRT1;GTPBP3;TRMT13;OSGEPL1;TRMT10A;WDR4;TRMT61A;PUS7;TRIT1;WDR6;THUMPD2;METTL1;LCMT2;TRDMT1;KTI12;AARS2;TRUB1;THUMPD3;OSGEP;TRMT44;TRMT1;PUS1;TYW1;BCDIN3D;DTWD1;TRMO;TYW3;CTU2;ELP5;MOCS3;DUS4L;TRMT12
prerank,post-Golgi Vesicle-Mediated Transport (GO:0006892),0.6001261272989618,2.2722484504023566,0.0,0.0001649975681896873,0.001,37/53,31.21%,SCAMP2;RAB10;MYO5A;EXOC5;SCAMP1;GOLGA7;ARL3;GBF1;EPS15;VTI1B;VPS13A;RAB14;VPS35L;EXOC2;AP3D1;RABIF;COMMD1;DNM2;LLGL1;AP4M1;AP2A1;SCFD1;GGA2;VTI1A;VPS13C;EXOC4;SCAMP3;RP2;EXOC8;CCDC93;SNAP23;MON2;KLHL20;CORO7;EXOC6;SEC16A;OSBPL5
prerank,Endoplasmic Reticulum To Cytosol Transport (GO:1903513),0.7677179897576848,2.2705677383552136,0.0,0.00014437287216597638,0.001,13/15,17.74%,SELENOS;DERL2;ERLEC1;SEC61B;HERPUD1;SEL1L;OS9;HSP90B1;VCP;UFD1;DERL1;NPLOC4;SYVN1
prerank,Ribosome Assembly (GO:0042255),-0.4511696176582017,-2.2472090219629193,0.0,0.0028144068735341003,0.074,22/45,15.84%,RPS5;NLE1;C1QBP;RPL5;NPM1;RPSA;RPS28;RPL23A;RPS15;RPS27;MTERF4;RPS14;NOP53;RPL11;RPS19;RPL10;RPF2;RPLP0;EFNA1;NOA1;MTERF3;MDN1
prerank,Protein Insertion Into ER Membrane (GO:0045048),0.6674847099865314,2.2396314864761306,0.0,0.0005133257677012494,0.003,19/26,21.11%,TMCO1;EMC4;EMC2;TRAM1;EMC3;EMC7;TRAM2;NOMO1;SEC61A1;NOMO2;CCDC47;EMC6;RAB5IF;UBL4A;EMC9;NOMO3;TMEM147;WDR83OS;NCLN
prerank,Endoplasmic Reticulum To Golgi Vesicle-Mediated Transport (GO:0006888),0.5194584456432936,2.23020749629698,0.0,0.0006929897863966867,0.004,71/108,30.57%,ATL3;TMED5;SAR1B;VAPA;ARCN1;USO1;PEF1;RAB2A;GBF1;CNIH4;BCAP29;TRAPPC2L;BCAP31;COPB1;SEC16B;KDELR2;RAB1A;COPE;SEC13;LMAN1;COPB2;TRAPPC10;TRAPPC4;SEC22A;COPA;HYOU1;SEC22C;TMED9;TMED2;MIA2;SEC24D;TMED10;LMAN2;ARF4;IER3IP1;WHAMM;SEC24A;SEC31A;TMED1;TEX261;TRAPPC1;COPG1;RAB1B;NRBP1;TFG;PREB;SPAST;TMED4;MIA3;SCFD1;SEC24C;RAB29;VTI1A;GOLGA2;VAMP7;MPPE1;YIF1A;SAR1A;PDCD6;TMED7;ZW10;TRAPPC2;TRAPPC3;KDELR1;TRAPPC13;YKT6;TBC1D20;LMAN2L;COG3;YIPF5;SEC16A
prerank,Regulation Of Protein Localization To Plasma Membrane (GO:1903076),0.5483070795057962,2.2270580555629644,0.0,0.0006299907149060788,0.004,51/71,31.60%,ZDHHC8;ITGB1;ATP2B4;LGALS3;CIB1;PTPN9;CLN3;KIF5B;TMBIM1;VAMP8;RHOG;SQSTM1;PICALM;STX3;BCL2L1;ARF6;IFNG;TGFB1;PIK3R1;VTI1B;PRKCE;TMEM59;STX8;VPS4A;ZDHHC7;MMP14;TNF;AP2M1;PPP2R5A;ACTB;AKT1;PRKCI;PPFIA1;SORBS1;EPHB2;ZDHHC5;CLTC;PDPK1;STX7;LRPAP1;PRKCH;EPHA2;ZDHHC2;APPL1;NUMB;STX4;CDK5;DAB2;AKAP5;CNPY4;SIRT6
prerank,Macroautophagy (GO:0016236),0.524595485063114,2.225083729010222,0.0,0.0005774914886639055,0.004,72/100,34.30%,VPS33A;ATP13A2;ATG5;CLN3;LAMP2;VAMP8;PLEKHM1;SQSTM1;CHMP1A;MAP1LC3B;VPS28;TGFB1;ATG16L1;VTI1B;VPS37A;PLAA;VPS4A;EPG5;HDAC10;GABARAPL1;VPS4B;TCIRG1;CALCOCO2;VPS36;CALR;CHMP2A;ARL8B;HGS;VPS16;MAP1LC3B2;LIX1;BECN1;VCP;CHMP5;ATG12;ATG4B;ATG16L2;MTMR3;STK3;TSG101;PIP4K2A;ULK1;UVRAG;PIK3C3;VTI1A;VAMP7;SNAP29;CHMP2B;TBC1D5;SNX18;CHMP4A;MAP1LC3A;VPS41;ZFYVE1;SNF8;VPS33B;ZFYVE26;MTMR14;SNX14;MVB12A;NBR1;ATG7;UBXN6;GABARAPL2;VPS37B;ATG14;YOD1;STAM2;CHMP4C;UBA5;PIK3R4;SPG11
prerank,Positive Regulation Of Dephosphorylation (GO:0035306),0.6611820205183007,2.2169735434423985,0.0,0.0005330690664589897,0.004,19/27,20.88%,CNEP1R1;DYNLL1;CALM1;ANKLE2;RIPK3;PRKCD;TGFB1;ROCK1;CALM2;PPP1R16B;PPIA;PIN1;PPP2R5A;PTPA;CDCA2;LILRB2;MTMR9;PPP1R7;PTBP1
prerank,Ribonucleoprotein Complex Biogenesis (GO:0022613),-0.3681933513835489,-2.2137512873878933,0.0,0.0033552144688406534,0.097,53/114,21.07%,ZNF658;RPS17;RPS9;RPS5;RPS3A;WDR74;RPS23;RPS11;RPS15A;RPL5;NPM1;RPS24;RPS28;RPS8;RPL7;FBL;RPS16;RPS13;RPS6;RPS15;WDR12;MRTO4;RPS27;RPL26;SPPL2B;RPL35A;RPS14;RPL11;RPS19;RPS25;RPL38;RPS7;WDR3;RPS4X;RPF2;SURF6;GRWD1;RPL14;NAT10;WDR43;RSL24D1;UTP18;NOP58;RCL1;DDX31;DIMT1;RIOK1;IGF2BP3;RRP9;URB2;NOL6;TMA16;UTP20
prerank,Negative Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001243),0.5752840054044679,2.2128917025530517,0.0,0.0004949927045690619,0.004,31/54,21.58%,HSPA1A;PLAUR;DNAJA1;SNAI1;TMEM161A;SELENOS;TMBIM6;BCL2L1;MDM2;CLU;SOD2;ENO1;PPIA;HERPUD1;HYOU1;CREB3;CDKN2D;PTTG1IP;TXNDC12;BAG5;PINK1;AKT1;MAPK7;XBP1;PARK7;OPA1;SYVN1;PTPN1;LRRK2;ARHGEF2;TRIM32
prerank,Endoplasmic Reticulum Organization (GO:0007029),0.5859928047382907,2.2093046293387077,0.0,0.00046199319093112443,0.004,29/47,20.60%,RAB18;RAB10;ATL3;VCPIP1;REEP5;TRAM1;VAPA;LNPK;REEP4;TRAM2;SEC61A1;SEC16B;RTN3;TMEM33;CCDC47;TOR1B;TOR1AIP2;DNM1L;RTN4;SHTN1;SEC31A;RETREG3;WDR83OS;MIA3;LRRK2;BNIP1;GAK;LPCAT3;REEP3
